# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  1204.47 1.2668e-16   1256.03 0 
  1215.61 8.2171e-17   1267.65 0 
  1224.04 1.8018e-16   1276.44 0 
  1235.36 2.8361e-16   1288.25 0 
  1243.93 3.2264e-16   1297.18 0 
  1255.44 3.1748e-16   1309.18 0 
  1264.14 2.7972e-16   1318.26 0 
  1275.84 3.7129e-16   1330.45 0 
  1284.68 3.9969e-16   1339.68 0 
  1293.58 3.2638e-16   1348.96 0 
  1305.55 3.3015e-16   1361.44 0 
  1314.60 4.2239e-16   1370.88 0 
  1323.72 4.1468e-16   1380.38 0 
  1335.96 3.7733e-16   1393.16 0 
  1345.22 4.5784e-16   1402.81 0 
  1354.55 4.5365e-16   1412.54 0 
  1363.94 4.1660e-16   1422.33 0 
  1376.56 4.4742e-16   1435.49 0 
  1386.10 4.6315e-16   1445.44 0 
  1395.71 4.1564e-16   1455.46 0 
  1405.38 4.4230e-16   1465.55 0 
  1415.12 4.5996e-16   1475.71 0 
  1424.93 4.8163e-16   1485.94 0 
  1434.81 4.8833e-16   1496.24 0 
  1441.43 5.2326e-16   1503.14 0 
  1448.09 5.3668e-16   1510.08 0 
  1454.77 5.3176e-16   1517.05 0 
  1464.86 5.0086e-16   1527.57 0 
  1475.01 5.0900e-16   1538.15 0 
  1485.23 5.2810e-16   1548.82 0 
  1495.53 5.4792e-16   1559.55 0 
  1505.90 5.3054e-16   1570.36 0 
  1512.85 4.7942e-16   1577.61 0 
  1516.33 5.1846e-16   1581.25 0 
  1523.33 5.1017e-16   1588.55 0 
  1533.89 4.5469e-16   1599.56 0 
  1544.52 5.1135e-16   1610.65 0 
  1555.23 4.9059e-16   1621.81 0 
  1566.01 5.0666e-16   1633.05 0 
  1573.24 5.5045e-16   1640.59 0 
  1584.14 5.8576e-16   1651.96 0 
  1595.13 6.1055e-16   1663.41 0 
  1606.18 6.0634e-16   1674.94 0 
  1613.60 6.1904e-16   1682.67 0 
  1624.78 5.9528e-16   1694.34 0 
  1636.04 6.4375e-16   1706.08 0 
  1643.59 6.6484e-16   1713.96 0 
  1654.99 6.2190e-16   1725.84 0 
  1666.46 6.9298e-16   1737.80 0 
  1670.30 6.2477e-16   1741.81 0 
  1678.01 7.0749e-16   1749.85 0 
  1685.76 7.4768e-16   1757.92 0 
  1693.54 7.1239e-16   1766.04 0 
  1705.28 6.9457e-16   1778.28 0 
  1713.15 6.7099e-16   1786.49 0 
  1725.02 6.7720e-16   1798.87 0 
  1736.98 7.3235e-16   1811.34 0 
  1745.00 7.2563e-16   1819.70 0 
  1753.05 7.8473e-16   1828.10 0 
  1765.20 7.2731e-16   1840.77 0 
  1773.35 7.5983e-16   1849.27 0 
