# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  1204.52 1.4860e-15   1241.65 0 
  1215.66 1.0538e-15   1253.14 0 
  1224.09 2.2699e-15   1261.83 0 
  1235.41 3.6280e-15   1273.50 0 
  1243.98 4.0635e-15   1282.33 0 
  1255.49 3.8860e-15   1294.20 0 
  1264.19 3.3089e-15   1303.17 0 
  1275.89 4.4591e-15   1315.22 0 
  1284.73 4.7466e-15   1324.34 0 
  1293.64 3.6434e-15   1333.52 0 
  1305.61 3.6474e-15   1345.86 0 
  1314.66 4.7431e-15   1355.19 0 
  1323.77 4.5616e-15   1364.58 0 
  1336.02 3.9857e-15   1377.21 0 
  1345.28 4.9376e-15   1386.76 0 
  1354.60 4.8141e-15   1396.37 0 
  1363.99 4.2706e-15   1406.05 0 
  1373.45 4.5649e-15   1415.79 0 
  1386.16 4.6631e-15   1428.89 0 
  1395.77 4.0604e-15   1438.80 0 
  1405.44 4.2703e-15   1448.77 0 
  1415.18 4.3784e-15   1458.81 0 
  1424.99 4.5619e-15   1468.93 0 
  1434.87 4.5599e-15   1479.11 0 
  1441.49 4.8695e-15   1485.94 0 
  1448.15 4.9660e-15   1492.79 0 
  1454.83 4.8363e-15   1499.69 0 
  1464.92 4.4489e-15   1510.08 0 
  1475.07 4.4768e-15   1520.55 0 
  1485.29 4.5990e-15   1531.09 0 
  1495.59 4.7242e-15   1541.70 0 
  1505.96 4.4460e-15   1552.39 0 
  1512.91 3.9299e-15   1559.55 0 
  1516.40 4.2617e-15   1563.15 0 
  1523.40 4.1398e-15   1570.36 0 
  1533.95 3.5691e-15   1581.25 0 
  1544.59 3.9820e-15   1592.21 0 
  1555.29 3.7811e-15   1603.25 0 
  1566.07 3.8735e-15   1614.36 0 
  1573.30 4.1535e-15   1621.81 0 
  1584.21 4.4041e-15   1633.05 0 
  1595.19 4.4903e-15   1644.37 0 
  1606.25 4.4428e-15   1655.77 0 
  1613.66 4.5175e-15   1663.41 0 
  1624.85 4.2779e-15   1674.94 0 
  1636.11 4.5870e-15   1686.55 0 
  1643.66 4.6743e-15   1694.34 0 
  1655.06 4.3348e-15   1706.08 0 
  1666.53 4.7554e-15   1717.91 0 
  1670.37 4.2683e-15   1721.87 0 
  1678.08 4.7465e-15   1729.82 0 
  1685.83 4.9943e-15   1737.80 0 
  1693.61 4.7160e-15   1745.82 0 
  1705.35 4.5152e-15   1757.92 0 
  1713.22 4.2338e-15   1766.04 0 
  1725.09 4.2245e-15   1778.28 0 
  1733.06 4.5372e-15   1786.49 0 
  1745.07 4.4339e-15   1798.87 0 
  1753.12 4.7507e-15   1807.17 0 
  1765.28 4.3620e-15   1819.70 0 
  1773.42 4.4526e-15   1828.10 0 
  1785.72 4.5654e-15   1840.77 0 
  1793.96 4.8794e-15   1849.27 0 
  1806.39 4.8659e-15   1862.09 0 
  1814.73 4.4362e-15   1870.68 0 
  1823.11 4.5903e-15   1879.32 0 
  1835.75 4.4009e-15   1892.34 0 
  1844.22 4.0394e-15   1901.08 0 
  1857.00 3.9990e-15   1914.26 0 
  1865.57 4.1275e-15   1923.09 0 
  1874.19 4.5646e-15   1931.97 0 
  1882.84 4.1504e-15   1940.89 0 
  1895.89 3.9318e-15   1954.34 0 
  1904.64 4.2485e-15   1963.36 0 
  1913.43 4.0444e-15   1972.42 0 
  1926.69 3.9651e-15   1986.10 0 
  1935.59 4.1766e-15   1995.26 0 
  1944.52 4.2891e-15   2004.47 0 
  1953.50 3.9801e-15   2013.72 0 
  1967.04 4.3968e-15   2027.68 0 
  1976.12 4.5457e-15   2037.04 0 
  1985.24 4.2565e-15   2046.45 0 
  1994.40 4.1350e-15   2055.89 0 
  2003.61 4.3040e-15   2065.38 0 
  2012.85 4.1328e-15   2074.91 0 
  2026.81 4.3778e-15   2089.30 0 
  2036.16 4.0698e-15   2098.94 0 
  2045.56 4.2253e-15   2108.63 0 
  2055.00 4.0469e-15   2118.36 0 
  2064.49 4.0771e-15   2128.14 0 
  2074.02 4.3407e-15   2137.96 0 
  2078.80 4.0379e-15   2142.89 0 
  2083.59 4.2242e-15   2147.83 0 
  2093.21 3.9801e-15   2157.74 0 
  2102.87 4.0460e-15   2167.70 0 
  2112.58 4.0750e-15   2177.71 0 
  2127.22 4.1278e-15   2192.81 0 
  2137.04 3.8614e-15   2202.93 0 
  2146.90 3.8971e-15   2213.09 0 
  2156.81 4.0617e-15   2223.31 0 
  2166.77 3.9504e-15   2233.57 0 
  2176.77 3.9043e-15   2243.88 0 
  2186.82 3.7881e-15   2254.24 0 
  2196.91 3.9560e-15   2264.64 0 
  2207.05 3.8465e-15   2275.10 0 
  2217.24 3.6884e-15   2285.60 0 
  2227.47 3.5365e-15   2296.15 0 
  2232.61 3.7488e-15   2301.44 0 
  2242.91 3.5830e-15   2312.07 0 
  2253.27 3.4689e-15   2322.74 0 
  2263.67 3.5821e-15   2333.46 0 
  2274.12 3.6735e-15   2344.23 0 
  2284.61 3.7585e-15   2355.05 0 
  2295.16 3.5806e-15   2365.92 0 
  2305.75 3.5719e-15   2376.84 0 
  2316.39 3.4264e-15   2387.81 0 
  2327.09 2.7213e-15   2398.83 0 
  2332.45 3.2639e-15   2404.36 0 
  2343.22 3.2336e-15   2415.46 0 
  2354.03 3.4089e-15   2426.61 0 
  2364.90 3.2252e-15   2437.81 0 
  2375.81 3.2922e-15   2449.06 0 
  2386.78 3.1436e-15   2460.37 0 
  2392.28 3.3449e-15   2466.04 0 
  2403.33 3.2086e-15   2477.42 0 
  2414.42 3.2904e-15   2488.86 0 
  2425.56 3.4134e-15   2500.35 0 
  2436.76 3.2818e-15   2511.89 0 
  2442.38 3.4680e-15   2517.68 0 
  2453.65 3.4120e-15   2529.30 0 
  2464.98 3.4193e-15   2540.97 0 
  2476.35 3.3179e-15   2552.70 0 
  2487.78 3.4657e-15   2564.48 0 
  2493.52 3.2566e-15   2570.40 0 
  2505.03 3.5537e-15   2582.26 0 
  2510.80 3.2934e-15   2588.21 0 
  2516.59 3.4404e-15   2594.18 0 
  2522.39 3.2853e-15   2600.16 0 
  2534.03 3.3151e-15   2612.16 0 
  2545.73 3.2465e-15   2624.22 0 
  2557.48 3.4146e-15   2636.33 0 
  2563.38 3.3830e-15   2642.41 0 
  2575.21 3.5500e-15   2654.61 0 
  2587.10 3.5330e-15   2666.86 0 
  2593.06 3.5245e-15   2673.01 0 
  2605.03 3.4278e-15   2685.34 0 
  2617.05 3.4193e-15   2697.74 0 
  2623.09 3.4986e-15   2703.96 0 
  2635.19 3.5303e-15   2716.44 0 
  2647.36 3.7130e-15   2728.98 0 
  2653.46 3.7041e-15   2735.27 0 
  2665.71 3.5124e-15   2747.89 0 
  2678.01 3.6351e-15   2760.58 0 
  2684.19 3.6097e-15   2766.94 0 
  2696.58 3.5187e-15   2779.71 0 
  2702.79 3.5673e-15   2786.12 0 
  2715.27 3.4854e-15   2798.98 0 
  2727.80 3.5007e-15   2811.90 0 
  2734.09 3.6401e-15   2818.38 0 
  2746.71 3.3344e-15   2831.39 0 
  2753.04 3.3572e-15   2837.92 0 
  2765.75 3.4346e-15   2851.02 0 
  2772.12 3.5549e-15   2857.59 0 
  2784.92 3.5216e-15   2870.78 0 
  2797.77 3.0594e-15   2884.03 0 
  2804.22 3.2478e-15   2890.68 0 
  2817.17 3.5850e-15   2904.02 0 
  2823.66 3.6095e-15   2910.72 0 
  2836.69 3.4621e-15   2924.15 0 
  2843.23 3.4300e-15   2930.89 0 
  2856.36 3.4371e-15   2944.42 0 
  2862.94 3.5657e-15   2951.21 0 
  2876.16 3.5159e-15   2964.83 0 
  2882.79 3.5399e-15   2971.67 0 
  2896.09 3.4985e-15   2985.38 0 
  2909.46 3.6373e-15   2999.16 0 
  2929.63 3.5778e-15   3019.95 0 
  2949.94 3.5436e-15   3040.89 0 
  2970.38 3.5668e-15   3061.96 0 
  2990.97 3.5654e-15   3083.19 0 
  3011.71 3.5887e-15   3104.56 0 
  3032.58 3.5956e-15   3126.08 0 
  3046.58 3.5698e-15   3140.51 0 
  3067.70 3.5520e-15   3162.28 0 
  3088.96 3.5587e-15   3184.20 0 
  3110.37 3.5245e-15   3206.27 0 
  3131.93 3.5068e-15   3228.49 0 
  3146.39 3.5139e-15   3243.40 0 
